"id","name"
"__export__.mntc_base_symptoms_1","No prende"
"__export__.mntc_base_symptoms_2","Ruido"
"__export__.mntc_base_symptoms_3","Golpe"
"__export__.mntc_base_symptoms_4","Alarma"
"__export__.mntc_base_symptoms_5","Fuga"
"__export__.mntc_base_symptoms_6","Baja potencia"
"__export__.mntc_base_symptoms_7","Neutralizado"
"__export__.mntc_base_symptoms_8","Alta Temperatura"
"__export__.mntc_base_symptoms_9","Frenos Largos"
"__export__.mntc_base_symptoms_10","Fuga aceite"
"__export__.mntc_base_symptoms_11","Fuga agua"
"__export__.mntc_base_symptoms_12","No enfría"
"__export__.mntc_base_symptoms_13","Deficiente"
"__export__.mntc_base_symptoms_14","Dura"
"__export__.mntc_base_symptoms_15","Frenado"
"__export__.mntc_base_symptoms_16"," Olor quemado"
"__export__.mntc_base_symptoms_17","Bloqueado"
"__export__.mntc_base_symptoms_18","Luces"
"__export__.mntc_base_symptoms_19","No cambia"
"__export__.mntc_base_symptoms_20","Se Apago"
"__export__.mntc_base_symptoms_21","Enfria Poco "
"__export__.mntc_base_symptoms_22","No Funciona"
"__export__.mntc_base_symptoms_23","Desajuste "
"__export__.mntc_base_symptoms_24","Agua en cabina  "
"__export__.mntc_base_symptoms_25","Caído "
"__export__.mntc_base_symptoms_26","Cambio duro "
"__export__.mntc_base_symptoms_27","Confort  "
"__export__.mntc_base_symptoms_28","Desliza   "
"__export__.mntc_base_symptoms_29","No acelera   "
"__export__.mntc_base_symptoms_30","No Carga"
"__export__.mntc_base_symptoms_31","No cierra  "
"__export__.mntc_base_symptoms_32","No embraga  "
"__export__.mntc_base_symptoms_33","No frena  "
"__export__.mntc_base_symptoms_34","Pinchado   "
"__export__.mntc_base_symptoms_35","Rigido  "
"__export__.mntc_base_symptoms_36","Sanconeo    "
"__export__.mntc_base_symptoms_37","Se apaga   "
"__export__.mntc_base_symptoms_38","Se regula"
"__export__.mntc_base_symptoms_39","No Regula  "
"__export__.mntc_base_symptoms_40","Seguridad "
"__export__.mntc_base_symptoms_41","Tira a un lado"
"__export__.mntc_base_symptoms_42","Luz no prende"
"__export__.mntc_base_symptoms_43","AUSENCIA"
"__export__.mntc_base_symptoms_44","Deformada"
"__export__.mntc_base_symptoms_45","No abre"
"__export__.mntc_base_symptoms_46","CONSUMO EXCESIVO DE AGUA"
"__export__.mntc_base_symptoms_47",""
