"id","description","code","system_id/id","base_symptoms_id/id","active"
"zue_fleet_maintenance.mntc_symptoms_anpr","No prende.","ANPR","zue_fleet_maintenance.mntc_vehicle_system_2","__export__.mntc_base_symptoms_1","True"
"zue_fleet_maintenance.mntc_symptoms_fate","Alta Temperatura.","FATE","zue_fleet_maintenance.mntc_vehicle_system_6","__export__.mntc_base_symptoms_8","True"
"zue_fleet_maintenance.mntc_symptoms_lupr","Luz no prende","LUPR","zue_fleet_maintenance.mntc_vehicle_system_5","__export__.mntc_base_symptoms_42","True"
"zue_fleet_maintenance.mntc_symptoms_frla","Frenos largos","FRLA","zue_fleet_maintenance.mntc_vehicle_system_6","__export__.mntc_base_symptoms_9","True"
"zue_fleet_maintenance.mntc_symptoms_crui","Ruido.","CRUI","zue_fleet_maintenance.mntc_vehicle_system_3","__export__.mntc_base_symptoms_2","True"
"zue_fleet_maintenance.mntc_symptoms_fuac","Fuga aceite","FUAC","zue_fleet_maintenance.mntc_vehicle_system_1","__export__.mntc_base_symptoms_10","True"
"zue_fleet_maintenance.mntc_symptoms_fuag","Fuga agua","FUAG","zue_fleet_maintenance.mntc_vehicle_system_1","__export__.mntc_base_symptoms_11","True"
"zue_fleet_maintenance.mntc_symptoms_fuai","Fuga.","FUAI","zue_fleet_maintenance.mntc_vehicle_system_2","__export__.mntc_base_symptoms_5","True"
"zue_fleet_maintenance.mntc_symptoms_anen","No enfría.","ANEN","zue_fleet_maintenance.mntc_vehicle_system_2","__export__.mntc_base_symptoms_12","True"
"zue_fleet_maintenance.mntc_symptoms_ebpo","Baja potencia.","EBPO","zue_fleet_maintenance.mntc_vehicle_system_5","__export__.mntc_base_symptoms_6","True"
"zue_fleet_maintenance.mntc_symptoms_enca","No cambia.","ENCA","zue_fleet_maintenance.mntc_vehicle_system_5","__export__.mntc_base_symptoms_19","True"
"zue_fleet_maintenance.mntc_symptoms_aapa","Se apago.","AAPA","zue_fleet_maintenance.mntc_vehicle_system_2","__export__.mntc_base_symptoms_20","True"
"zue_fleet_maintenance.mntc_symptoms_enpo","Enfría poco","ENPO","zue_fleet_maintenance.mntc_vehicle_system_2","__export__.mntc_base_symptoms_21","True"
"zue_fleet_maintenance.mntc_symptoms_eala","Alarma.","EALA","zue_fleet_maintenance.mntc_vehicle_system_5","__export__.mntc_base_symptoms_4","True"
"zue_fleet_maintenance.mntc_symptoms_aufu","Audio no funciona","AUFU","zue_fleet_maintenance.mntc_vehicle_system_5","__export__.mntc_base_symptoms_22","True"
"zue_fleet_maintenance.mntc_symptoms_cdes","Desajuste.","CDES","zue_fleet_maintenance.mntc_vehicle_system_3","__export__.mntc_base_symptoms_23","True"
"zue_fleet_maintenance.mntc_symptoms_agca","Agua en cabina","AGCA","zue_fleet_maintenance.mntc_vehicle_system_3","__export__.mntc_base_symptoms_24","True"
"zue_fleet_maintenance.mntc_symptoms_cala","Alarma.","CALA","zue_fleet_maintenance.mntc_vehicle_system_3","__export__.mntc_base_symptoms_4","True"
"zue_fleet_maintenance.mntc_symptoms_fala","Alarma.","FALA","zue_fleet_maintenance.mntc_vehicle_system_6","__export__.mntc_base_symptoms_4","True"
